项目	规则	公式	上线时间
四肢血管彩超	含四肢血管彩超的复合项目多个开立时，第2个及以上的四肢血管彩超替换为四肢血管彩超（加收）		
计算机体层（CT）造影成像（血管）	2小时以内连续收费，超过2条血管，按2条收费		
			
计算机体层成像（CT）平扫	2小时以内连续收费，超过3个部位，按3个部位收费		4月30
计算机体层成像（CT）增强	2小时以内连续收费，超过3个部位，按3个部位收费		4月30
磁共振（MR）平扫	2小时以内连续收费，超过3个部位，按3个部位收费		4月30
磁共振（MR）增强	2小时以内连续收费，超过3个部位，按3个部位收费		4月30
计算机体层成像(CT)平扫-薄层扫描(加收)	2小时以内连续收费，超过1个加收项目，按1个收费		4月30
计算机体层成像(CT)平扫-能量成像(加收)	2小时以内连续收费，超过1个加收项目，按1个收费		4月30
计算机体层成像(CT)增强-薄层扫描(加收)	2小时以内连续收费，超过1个加收项目，按1个收费		4月30
计算机体层成像(CT)增强-能量成像(加收)	2小时以内连续收费，超过1个加收项目，按1个收费		4月30
计算机体层(CT)造影成像(血管)-能量成像(加收)	2小时以内连续收费，超过1个加收项目，按1个收费		4月30
磁共振（MR）平扫（加收）	2小时以内连续收费，超过1个加收项目，按1个收费		4月30
磁共振（MR）增强（加收）	2小时以内连续收费，超过1个加收项目，按1个收费		4月30
X线摄影成像-床旁X线摄影(加收)	2小时以内连续收费，超过1个加收项目，按1个收费		4月30
			
彩色多普勒超声检查（血管）	2小时以内连续收费，超过5个部位，按5个部位收费		7月30
B型超声检查-床旁检查（加收）	2小时以内连续收费，超过1个加收项目按1个收费		7月30
彩色多普勒超声检查（常规）-床旁检查（加收）	2小时以内连续收费，超过1个加收项目按1个收费		7月30
彩色多普勒超声检查（心脏）-床旁检查（加收）	2小时以内连续收费，超过1个加收项目按1个收费		7月30
彩色多普勒超声检查（血管）-床旁检查（加收）	2小时以内连续收费，超过1个加收项目按1个收费		7月30
彩色多普勒超声检查（胎儿）-床旁检查（加收）	2小时以内连续收费，超过1个加收项目按1个收费		7月30
产科Ⅰ级彩超（单胎/双胎/三胎）	同胎次的下列项目同时开立，超过1个按1个收费		7月30
胎儿脐血流彩超（单胎/双胎/三胎）	同胎次的下列项目同时开立，超过1个按1个收费		7月30
胎儿大脑中动脉彩超（单胎/双胎/三胎）	同胎次的下列项目同时开立，超过1个按1个收费		7月30
胎儿静脉导管彩超（单胎/双胎/三胎）	同胎次的下列项目同时开立，超过1个按1个收费		7月30
胎儿大脑中动脉+静脉导管彩超（单胎/双胎/三胎）	同胎次的下列项目同时开立，超过1个按1个收费		7月30
			
变应原皮肤试验费	每次收费不高于440元		12月30
浅表肿物去除费	数量1以上，每多1个加收50%原价格	总价=单价x（数量x0.5+0.5）	12月30
浅表肿物去除费-儿童（加收）	数量1以上，每多1个加收50%原价格	总价=单价x（数量x0.5+0.5）	12月30
浅表肿物去除费-累及重要器官或功能部位（加收）	数量1以上，每多1个加收50%原价格	总价=单价x（数量x0.5+0.5）	12月30
"自体皮移植费
（常规）"	同一手术超过1%体表面积，每增加1%体表面积按单价70%计价。	总价=单价x（数量x0.7+0.3）	12月30
"自体皮移植费
（常规）-儿童（加收）"	同一手术超过1%体表面积，每增加1%体表面积按单价70%计价。	总价=单价x（数量x0.7+0.3）	12月30
"自体皮移植费
（复杂）"	同一手术超过1%体表面积，每增加1%体表面积按单价70%计价。	总价=单价x（数量x0.7+0.3）	12月30
"自体皮移植费
（复杂）-儿童（加收）"	同一手术超过1%体表面积，每增加1%体表面积按单价70%计价。	总价=单价x（数量x0.7+0.3）	12月30
浅表恶性肿瘤去除费	单项目封顶价	每单最高收费4400元	12月30
浅表恶性肿瘤去除费-儿童（加收）	单项目封顶价	每单最高收费1320元	12月30
浅表恶性肿瘤去除费-累及重要器官或功能部位（加收）	单项目封顶价	每单最高收费2200元	12月30
巨痣去除费	存在单条项目的封顶价，存在单位换算	"①一个：
1平方厘米：546元*1数量=546元
2平方厘米：546元*2数量=1092元
……
8平方厘米：546*8数量=4368元
（※单肿物收费最高4400元）
②两个肿物及以上按照实际开立数量情况相加计算
"	12月30
巨痣去除费-儿童（加收）	存在单条项目的封顶价，存在单位换算	按上方原项目的金额x30%	12月30
巨痣去除费-累及重要器官或功能部位（加收）	存在单条项目的封顶价，存在单位换算	"1个肿瘤：546元*1个=546元
2个肿瘤：546元*2个=1092元
3个肿瘤：546元*3个=1638元
4个肿瘤：546元*4个=2184元
（※单肿物加收最高2200元）"	12月30
